,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
48,New new years melody!,Happy new years melody!,spam,Polyjuice,614,20.00124740600586,dnn,,new new year melody,,0.0,0.9515231125356236,1,0.9032657146453857,,,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",-0.1306157559156417
49,"Thank You, Santa Ana, California.",Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,spam,Polyjuice,614,26.64107275009156,dnn,,thank santa ana california,important customer service announcement freephone 0800 542 0825,0.3675315356717643,0.7654328763454575,18,0.5040223002433777,8.0,0.0871875956654548,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",-0.1418707966804504
50,"For example, 351 W 5th Avenue is approximately west of Fifth Avenue on the south side of High Street.","Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,Polyjuice,614,35.82652258872986,dnn,,example 351 w 5th avenue approximately west fifth avenue south high street,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2547090034157108,0.5099548128807695,23,0.07413455843925476,19.0,0.0340562760829925,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,-0.121853120625019
51,there have been 2 complaints lodged against the hearing by the applicant and those tenders that it raised are:,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,614,27.373230934143063,dnn,,2 complaint lodge hearing applicant tender raise,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.1882879205032318,0.7950333618375611,21,0.28228381276130676,19.0,0.0234822239726781,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 aPS3/wk 087016248,-0.1440853774547577
52,I have a secret admirer.,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,Polyjuice,614,22.368829011917114,dnn,,secret admirer,important customer service announcement freephone 0800 542 0825,0.3244386813426984,0.8734674821513944,23,0.46151238679885864,8.0,0.0152469351887702,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,-0.198313221335411
53,call now,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Polyjuice,614,24.80091953277588,dnn,,,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.26701423625188,0.701823839656862,22,0.4102697968482971,18.0,0.2492406517267227,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0374485254287719
54,You are not guaranteed the best of the internet movie channel...,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,614,26.707242727279663,dnn,,guarantee good internet movie channel,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2977926708287378,0.8060894354897107,22,0.13915173709392548,15.0,0.0747328102588653,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or aPS1000. To claim txt DIS to 87121 18+6*aPS1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",-0.1375708132982254
55,Can't get a loan?,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam,Polyjuice,614,21.16072964668274,dnn,,loan,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3243589795404554,0.9136360024578496,20,0.6326426863670349,21.0,-0.0086521571502089,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,-0.1947506070137024
56,Warrant Officer:,Promotion Number: 8714714 - UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,614,27.563586711883545,dnn,,warrant officer,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.0237549434217864,0.4643524232681896,27,0.03157118707895279,15.0,0.0093818623572587,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,-0.1269264221191406
57,"you can't get more kids out of here, all right? no, you can't get more kids out of here, all right?",Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,spam,Polyjuice,614,29.45195364952088,dnn,,kid right kid right,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3143274632684139,0.8896988147834515,20,0.1396941989660263,21.0,-0.1130010709166526,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,-0.1179596334695816
58,We tried to contact you to obtain the same number of clients to which we were sorry sorry of the additional staff as soon as possible.,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam,Polyjuice,614,29.98404622077942,dnn,,try contact obtain number client sorry sorry additional staff soon possible,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2947152365129452,0.9026672436945548,23,0.3359242081642151,26.0,0.1849899590015411,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,-0.1441777497529983
59,You'll not rv any more msgs from the chat svc. For free users either use the same search box or use the following url.,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,Polyjuice,614,24.80704617500305,dnn,,rv msg chat svc free user use search box use following url,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3585362088068775,0.9308996547860412,22,0.5450782775878906,24.0,0.0381827987730503,"Ur balance is now aPS600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",-0.1322207748889923
60,You have an important customer care question.,You have an important customer service announcement from PREMIER.,spam,Polyjuice,614,21.084154844284058,dnn,,important customer care question,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2773318697408971,0.9194265205657876,4,0.5149500370025635,18.0,0.1656745225191116,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,-0.1057377755641937
61,"( 50) - this is the 2nd attempt to contact u. s. a., that has still not yet been successful.","\URGENT! This is the 2nd attempt to contact U!U have WON aPS1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxaPS7. 50\""""",spam,Polyjuice,614,25.65894865989685,dnn,,50 2nd attempt contact u. s. a. successful,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2925517331846013,0.9262597087535333,14,0.3546642065048218,21.0,-0.0281729716807603,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",-0.0918247625231742
62,Can someone help me?,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,spam,Polyjuice,614,25.450740337371823,dnn,,help,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2816939514050576,0.8280151244179677,32,0.08044109493494034,18.0,0.102018266916275,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,-0.1165952980518341
63,Can someone help me?,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg,spam,Polyjuice,614,27.97676634788513,dnn,,help,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2816939514050576,0.8439791331191623,26,0.08574038743972778,18.0,0.102018266916275,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,-0.1165952980518341
64,* boxers swear by this series every 2 seconds.,"URGENT! Your mobile No *********** WON a aPS2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm",spam,Polyjuice,614,24.41193127632141,dnn,,boxer swear series 2 second,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3123535417961097,0.784578079937843,26,0.18321767449378967,18.0,0.0120103387162089,"Loan for any purpose aPS500 - aPS75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",-0.1822910606861114
65,"Thank you, winner - I know nothing personal.","Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",spam,Polyjuice,614,22.814425945281982,dnn,,thank winner know personal,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3405312632274788,0.8856405990131915,15,0.3860737681388855,17.0,0.0364095158874988,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,-0.1010928452014923
66,"Dear Matthew, please call the number on the landline from his cell phone, his number is called from the cell.","Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or aPS1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",spam,Polyjuice,614,31.03529596328736,dnn,,dear matthew number landline cell phone number call cell,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3238996029074902,0.836510885675583,20,0.6581544876098633,20.0,0.2473414540290832,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0959194302558898
67,last entry in the last 3 months EMPTY,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or aPS250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,Polyjuice,614,30.55344247817993,dnn,,entry 3 month,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.24733567310925,0.7785350859627815,25,0.1891619861125946,15.0,0.0795774683356285,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.126931145787239
68,sends an email to inform you about a contact with 09066 358,tells u 2 call 09066358152 to claim aPS5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam,Polyjuice,614,24.34942388534546,dnn,,send email inform contact 09066 358,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2600099516789373,0.8063068274439108,22,0.3603042960166931,18.0,0.320309966802597,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),-0.0759316682815551
69,No : No address EMPTY : No,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg,spam,Polyjuice,614,24.072051525115967,dnn,,address,congrat 2 mobile 3 g videophone r 09063458130 videochat wid ur mate play java game dload polyph music noline rentl bx420 ip4 5we 150p,0.2447249231021138,0.692172348147587,26,0.3034061789512634,24.0,0.1574119925498962,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1212166845798492
70,Bought one ringtone and didn't get texts anymore because the tone is low.,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam,Polyjuice,614,29.921931743621823,dnn,,buy ringtone text anymore tone low,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2920013952675124,0.902892355369212,9,0.6759428977966309,18.0,0.1128817871212959,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1518244594335556
71,Just receive this week's Z Boom TV. update.,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,spam,Polyjuice,614,25.454200506210327,dnn,,receive week z boom tv update,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3750059129664129,0.8992157936601904,10,0.37161165475845337,21.0,0.080181747674942,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,-0.0539211370050907
72,I Missed my Call!,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,Polyjuice,614,23.81771397590637,dnn,,miss,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.4006991318752005,0.9197285134263408,14,0.7163187265396118,17.0,0.1797482073307037,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1030982434749603
73,Married women looking for a casual event,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam,Polyjuice,614,24.331583738327023,dnn,,married woman look casual event,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2577584415723881,0.7834642606813813,23,0.42288297414779663,15.0,0.112839862704277,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-0.1800010949373245
74,"In sale items, a gun -grade ammunition is desirable!",For sale - arsenal dartboard. Good condition but no doubles or trebles!,spam,Polyjuice,614,20.94585680961609,dnn,,sale item gun -grade ammunition desirable,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2578957558464395,0.8041066628183482,11,0.3482927680015564,21.0,0.038375936448574,Missed call alert. These numbers called but left no message. 07008009200,-0.1662475168704986
75,"North Dakota also has a small airport, the Tijeras Airport, which connects NY 17B and NY 55 to Airport Road, which leads north to Airport Road.",U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,spam,Polyjuice,614,27.50902485847473,dnn,,north dakota small airport tijera airport connect ny 17b ny 55 airport road lead north airport road,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2637772900181285,0.6854180182467454,25,-0.1090993732213974,26.0,-0.1025446057319641,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",-0.2108777612447738
76,Have you ever been to Korea and found out anything about Korea?,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam,Polyjuice,614,23.93924188613892,dnn,,korea find korea,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3598151020806406,0.8824539559822895,22,0.19755791127681732,18.0,0.0512809492647647,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",-0.162642553448677
77,sell or die.,Moby Pub Quiz.Win a aPS100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP aPS1.50 008704050406 SP Arrow,spam,Polyjuice,614,24.510247707366943,dnn,,sell die,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3110526970910084,0.731101897620589,30,0.08589110523462296,21.0,0.0961842238903045,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,-0.1761962324380874
78,congratulations 2,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,Polyjuice,614,28.250157117843628,dnn,,congratulation 2,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1816345596440601,0.5292957604795929,25,0.24844956398010254,21.0,0.1162786036729812,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,-0.032881885766983
79,You have 1 good message.,You have 1 new message. Please call 08718738034.,spam,Polyjuice,614,18.896673679351807,dnn,,1 good message,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3349107526430506,0.9426420983858956,4,0.5426859855651855,21.0,0.2015617191791534,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,-0.0346216522157192
80,****dorroflice. com( google domain name),Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam,Polyjuice,614,23.09696245193481,dnn,,dorroflice com google domain,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2225194149451218,0.8508592360707128,23,0.2726162075996399,18.0,0.1021491810679435,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,-0.1216894686222076
81,"you awarded 500 BC coins, don't you think? u can't have won 500 for him after a fight, after all?",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,614,36.38425731658936,dnn,,award 500 bc coin think u win 500 fight,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3358244366909323,0.8009699446559614,19,0.2544023394584656,21.0,0.0689890459179878,Adult 18 Content Your video will be with you shortly,-0.0773987844586372
82,Is there a high level of knowledge?,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",spam,Polyjuice,614,24.132251262664795,dnn,,high level knowledge,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2399198506527666,0.7674575465324612,13,0.05840180814266205,15.0,-0.0295369923114776,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 aPS3/wk 087016248,-0.2028894424438476
83,i repeat.,"accordingly. I repeat, just text the word ok on your mobile phone and send",spam,Polyjuice,614,26.512353658676147,dnn,,repeat,important customer service announcement premier freephone 0800 542 0578,0.3296276886370525,0.7898450949809842,14,0.45011669397354126,9.0,-0.0145056946203112,network operator. The service is free. For T & C's visit 80488.biz,-0.1440701484680175
84,EMPTY a fight:,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam,Polyjuice,614,35.09118676185608,dnn,,fight,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2420924295805131,0.6686736718581311,21,0.08782871067523956,18.0,-0.0406506620347499,As a registered optin subscriber ur draw 4 aPS100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,-0.0914077386260032
85,i had a secret admirer who is looking two pearls...... and will call it a dream.,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,Polyjuice,614,29.294164419174194,dnn,,secret admirer look pearl dream,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3387606014096922,0.9341872435128958,19,0.495826780796051,16.0,0.0825824737548828,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost aPS1.50 min MobcudB more,-0.162274494767189
86,8/ 10,FROM 88066 LOST aPS12 HELP,spam,Polyjuice,614,26.886775970458984,dnn,,8/ 10,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,-0.0450198472239632,0.300836244585737,5,0.26766806840896606,21.0,0.1425998955965042,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,-0.0847477242350578
87,My Grade: [ANSWER],FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,spam,Polyjuice,614,25.220304012298584,dnn,,grade answer,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2019742165512768,0.6670669095008406,29,0.010243892669677734,21.0,-0.0698161274194717,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,-0.1960306167602539
88,Take a look and see what you really need.,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,spam,Polyjuice,614,25.77309465408325,dnn,,look need,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3027678139695587,0.8663479021490127,24,0.05609599128365517,18.0,0.070950299501419,Missed call alert. These numbers called but left no message. 07008009200,-0.1788044720888137
89,"( phone rings) you're on paid leave until the end of the month, so... don't you get it?",Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam,Polyjuice,614,26.77831268310547,dnn,,phone ring pay leave end month,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3273073168026809,0.6368427947990848,18,0.09611161053180695,21.0,-0.0062885931693017,2/2 146tf150p,-0.096469834446907
90,You are awarded a digital trophy for your work which can be bought or sold within 28 days.,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,spam,Polyjuice,614,26.464522123336792,dnn,,award digital trophy work buy sell 28 day,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2720284883813371,0.8807477746803686,13,0.2887750267982483,21.0,0.0219900850206613,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",-0.0714899003505706
91,Have your favourite movie/ TV show started?,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,spam,Polyjuice,614,26.95799279212952,dnn,,favourite movie/ tv start,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3617424553000002,0.8048657841559611,22,0.09885166585445404,15.0,-0.028544083237648,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or aPS1000. To claim txt DIS to 87121 18+6*aPS1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",-0.1712554991245269
92,Do you like to watch me do pranks?,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,spam,Polyjuice,614,23.575854063034058,dnn,,like watch prank,important customer service announcement premier freephone 0800 542 0578,0.3196098213735296,0.855777819432358,16,0.322170615196228,9.0,0.028867732733488,FROM 88066 LOST aPS12 HELP,-0.1467465162277221
93,Managers ran.,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",spam,Polyjuice,614,23.92514157295227,dnn,,manager run,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.177020528196216,0.6908575015544722,24,0.03442547470331192,21.0,0.0121836243197321,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,-0.1921205669641494
94,"allowing companies to bill for SMS, so it is only a matter of time before websites will want to use them.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",spam,Polyjuice,614,26.86971402168274,dnn,,allow company bill sms matter time website want use,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3101444235081981,0.9486017443047218,16,0.5656023621559143,21.0,0.1421615481376648,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN aPS100 Cash WKENT/150P16+,-0.1831992119550705
95,Which mobile has best camera?,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,Polyjuice,614,28.244640588760376,dnn,,mobile good camera,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2985727471171133,0.8578518903620964,28,0.48167750239372253,18.0,0.0702210813760757,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",-0.0744742304086685
96,Currently I'm 16 years old.,I'm still pretty weak today .. Bad day ?,spam,Polyjuice,614,19.024752855300903,dnn,,currently 16 year old,wylie tampa sarasota,-0.0234895820181209,0.8289038324424175,9,0.12477068603038788,5.0,0.0396539755165576,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,-0.2752034962177276
97,Good story and GIRLS waiting for your,Filthy stories and GIRLS waiting for your,spam,Polyjuice,614,30.166764736175537,dnn,,good story girl wait,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.320612708677424,0.9470737146307175,2,0.7432342767715454,15.0,0.0884061530232429,FROM 88066 LOST aPS12 HELP,-0.0932278931140899
98,The content of the film was very non-threatening at times.,Adult 18 Content Your video will be with you shortly,spam,Polyjuice,614,29.44333481788636,dnn,,content film non threatening time,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2391842237936914,0.8298458262876499,10,0.13531291484832764,15.0,-0.031769786030054,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",-0.2140024453401565
