,distance counterfactual target instance lev,dataset,model,vectorizer,method
53,18,spam,Neural Network,_TfidfVectorizer,Growing Net
54,10,spam,Neural Network,_TfidfVectorizer,Growing Net
55,7,spam,Neural Network,_TfidfVectorizer,Growing Net
56,6,spam,Neural Network,_TfidfVectorizer,Growing Net
57,16,spam,Neural Network,_TfidfVectorizer,Growing Net
58,19,spam,Neural Network,_TfidfVectorizer,Growing Net
59,3,spam,Neural Network,_TfidfVectorizer,Growing Net
60,21,spam,Neural Network,_TfidfVectorizer,Growing Net
61,17,spam,Neural Network,_TfidfVectorizer,Growing Net
62,17,spam,Neural Network,_TfidfVectorizer,Growing Net
63,16,spam,Neural Network,_TfidfVectorizer,Growing Net
64,6,spam,Neural Network,_TfidfVectorizer,Growing Net
65,3,spam,Neural Network,_TfidfVectorizer,Growing Net
66,13,spam,Neural Network,_TfidfVectorizer,Growing Net
67,9,spam,Neural Network,_TfidfVectorizer,Growing Net
68,4,spam,Neural Network,_TfidfVectorizer,Growing Net
69,10,spam,Neural Network,_TfidfVectorizer,Growing Net
70,7,spam,Neural Network,_TfidfVectorizer,Growing Net
71,16,spam,Neural Network,_TfidfVectorizer,Growing Net
72,11,spam,Neural Network,_TfidfVectorizer,Growing Net
73,19,spam,Neural Network,_TfidfVectorizer,Growing Net
74,8,spam,Neural Network,_TfidfVectorizer,Growing Net
75,5,spam,Neural Network,_TfidfVectorizer,Growing Net
76,19,spam,Neural Network,_TfidfVectorizer,Growing Net
77,16,spam,Neural Network,_TfidfVectorizer,Growing Net
78,10,spam,Neural Network,_TfidfVectorizer,Growing Net
79,23,spam,Neural Network,_TfidfVectorizer,Growing Net
80,12,spam,Neural Network,_TfidfVectorizer,Growing Net
81,7,spam,Neural Network,_TfidfVectorizer,Growing Net
82,15,spam,Neural Network,_TfidfVectorizer,Growing Net
83,7,spam,Neural Network,_TfidfVectorizer,Growing Net
84,12,spam,Neural Network,_TfidfVectorizer,Growing Net
85,9,spam,Neural Network,_TfidfVectorizer,Growing Net
86,11,spam,Neural Network,_TfidfVectorizer,Growing Net
87,5,spam,Neural Network,_TfidfVectorizer,Growing Net
88,13,spam,Neural Network,_TfidfVectorizer,Growing Net
89,13,spam,Neural Network,_TfidfVectorizer,Growing Net
90,11,spam,Neural Network,_TfidfVectorizer,Growing Net
91,11,spam,Neural Network,_TfidfVectorizer,Growing Net
92,22,spam,Neural Network,_TfidfVectorizer,Growing Net
93,25,spam,Neural Network,_TfidfVectorizer,Growing Net
94,11,spam,Neural Network,_TfidfVectorizer,Growing Net
95,12,spam,Neural Network,_TfidfVectorizer,Growing Net
96,19,spam,Neural Network,_TfidfVectorizer,Growing Net
97,4,spam,Neural Network,_TfidfVectorizer,Growing Net
98,4,spam,Neural Network,_TfidfVectorizer,Growing Net
99,8,spam,Neural Network,_TfidfVectorizer,Growing Net
0,13,spam,Neural Network,_TfidfVectorizer,Growing Language
1,13,spam,Neural Network,_TfidfVectorizer,Growing Language
2,5,spam,Neural Network,_TfidfVectorizer,Growing Language
3,14,spam,Neural Network,_TfidfVectorizer,Growing Language
4,7,spam,Neural Network,_TfidfVectorizer,Growing Language
5,9,spam,Neural Network,_TfidfVectorizer,Growing Language
6,6,spam,Neural Network,_TfidfVectorizer,Growing Language
7,7,spam,Neural Network,_TfidfVectorizer,Growing Language
8,5,spam,Neural Network,_TfidfVectorizer,Growing Language
9,10,spam,Neural Network,_TfidfVectorizer,Growing Language
10,17,spam,Neural Network,_TfidfVectorizer,Growing Language
11,28,spam,Neural Network,_TfidfVectorizer,Growing Language
12,9,spam,Neural Network,_TfidfVectorizer,Growing Language
13,3,spam,Neural Network,_TfidfVectorizer,Growing Language
14,13,spam,Neural Network,_TfidfVectorizer,Growing Language
15,9,spam,Neural Network,_TfidfVectorizer,Growing Language
16,17,spam,Neural Network,_TfidfVectorizer,Growing Language
17,10,spam,Neural Network,_TfidfVectorizer,Growing Language
18,9,spam,Neural Network,_TfidfVectorizer,Growing Language
19,6,spam,Neural Network,_TfidfVectorizer,Growing Language
20,17,spam,Neural Network,_TfidfVectorizer,Growing Language
21,10,spam,Neural Network,_TfidfVectorizer,Growing Language
22,4,spam,Neural Network,_TfidfVectorizer,Growing Language
23,10,spam,Neural Network,_TfidfVectorizer,Growing Language
24,11,spam,Neural Network,_TfidfVectorizer,Growing Language
25,25,spam,Neural Network,_TfidfVectorizer,Growing Language
26,17,spam,Neural Network,_TfidfVectorizer,Growing Language
27,6,spam,Neural Network,_TfidfVectorizer,Growing Language
28,6,spam,Neural Network,_TfidfVectorizer,Growing Language
29,9,spam,Neural Network,_TfidfVectorizer,Growing Language
30,17,spam,Neural Network,_TfidfVectorizer,Growing Language
31,18,spam,Neural Network,_TfidfVectorizer,Growing Language
32,9,spam,Neural Network,_TfidfVectorizer,Growing Language
33,16,spam,Neural Network,_TfidfVectorizer,Growing Language
34,9,spam,Neural Network,_TfidfVectorizer,Growing Language
35,15,spam,Neural Network,_TfidfVectorizer,Growing Language
36,4,spam,Neural Network,_TfidfVectorizer,Growing Language
37,11,spam,Neural Network,_TfidfVectorizer,Growing Language
38,15,spam,Neural Network,_TfidfVectorizer,Growing Language
39,17,spam,Neural Network,_TfidfVectorizer,Growing Language
40,5,spam,Neural Network,_TfidfVectorizer,Growing Language
41,25,spam,Neural Network,_TfidfVectorizer,Growing Language
42,9,spam,Neural Network,_TfidfVectorizer,Growing Language
43,22,spam,Neural Network,_TfidfVectorizer,Growing Language
44,12,spam,Neural Network,_TfidfVectorizer,Growing Language
45,10,spam,Neural Network,_TfidfVectorizer,Growing Language
46,6,spam,Neural Network,_TfidfVectorizer,Growing Language
47,7,spam,Neural Network,_TfidfVectorizer,Growing Language
48,2,spam,Neural Network,_TfidfVectorizer,Growing Language
49,8,spam,Neural Network,_TfidfVectorizer,Growing Language
50,10,spam,Neural Network,_TfidfVectorizer,Growing Language
51,2,spam,Neural Network,_TfidfVectorizer,Growing Language
52,5,spam,Neural Network,_TfidfVectorizer,Growing Language
53,3,spam,Neural Network,_TfidfVectorizer,Growing Language
54,25,spam,Neural Network,_TfidfVectorizer,Growing Language
55,23,spam,Neural Network,_TfidfVectorizer,Growing Language
56,3,spam,Neural Network,_TfidfVectorizer,Growing Language
57,13,spam,Neural Network,_TfidfVectorizer,Growing Language
58,18,spam,Neural Network,_TfidfVectorizer,Growing Language
59,25,spam,Neural Network,_TfidfVectorizer,Growing Language
60,20,spam,Neural Network,_TfidfVectorizer,Growing Language
61,17,spam,Neural Network,_TfidfVectorizer,Growing Language
62,8,spam,Neural Network,_TfidfVectorizer,Growing Language
63,4,spam,Neural Network,_TfidfVectorizer,Growing Language
64,5,spam,Neural Network,_TfidfVectorizer,Growing Language
65,6,spam,Neural Network,_TfidfVectorizer,Growing Language
66,5,spam,Neural Network,_TfidfVectorizer,Growing Language
67,9,spam,Neural Network,_TfidfVectorizer,Growing Language
68,9,spam,Neural Network,_TfidfVectorizer,Growing Language
69,5,spam,Neural Network,_TfidfVectorizer,Growing Language
70,12,spam,Neural Network,_TfidfVectorizer,Growing Language
71,25,spam,Neural Network,_TfidfVectorizer,Growing Language
72,8,spam,Neural Network,_TfidfVectorizer,Growing Language
73,13,spam,Neural Network,_TfidfVectorizer,Growing Language
74,20,spam,Neural Network,_TfidfVectorizer,Growing Language
75,6,spam,Neural Network,_TfidfVectorizer,Growing Language
76,15,spam,Neural Network,_TfidfVectorizer,Growing Language
77,16,spam,Neural Network,_TfidfVectorizer,Growing Language
78,14,spam,Neural Network,_TfidfVectorizer,Growing Language
79,17,spam,Neural Network,_TfidfVectorizer,Growing Language
80,8,spam,Neural Network,_TfidfVectorizer,Growing Language
0,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
1,23,spam,Neural Network,_TfidfVectorizer,Polyjuice
2,20,spam,Neural Network,_TfidfVectorizer,Polyjuice
3,7,spam,Neural Network,_TfidfVectorizer,Polyjuice
4,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
5,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
6,26,spam,Neural Network,_TfidfVectorizer,Polyjuice
7,19,spam,Neural Network,_TfidfVectorizer,Polyjuice
8,19,spam,Neural Network,_TfidfVectorizer,Polyjuice
9,30,spam,Neural Network,_TfidfVectorizer,Polyjuice
10,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
11,25,spam,Neural Network,_TfidfVectorizer,Polyjuice
12,15,spam,Neural Network,_TfidfVectorizer,Polyjuice
13,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
14,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
15,20,spam,Neural Network,_TfidfVectorizer,Polyjuice
16,3,spam,Neural Network,_TfidfVectorizer,Polyjuice
17,15,spam,Neural Network,_TfidfVectorizer,Polyjuice
18,26,spam,Neural Network,_TfidfVectorizer,Polyjuice
19,12,spam,Neural Network,_TfidfVectorizer,Polyjuice
20,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
21,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
22,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
23,23,spam,Neural Network,_TfidfVectorizer,Polyjuice
24,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
25,23,spam,Neural Network,_TfidfVectorizer,Polyjuice
26,11,spam,Neural Network,_TfidfVectorizer,Polyjuice
27,15,spam,Neural Network,_TfidfVectorizer,Polyjuice
28,7,spam,Neural Network,_TfidfVectorizer,Polyjuice
29,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
30,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
31,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
32,20,spam,Neural Network,_TfidfVectorizer,Polyjuice
33,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
34,4,spam,Neural Network,_TfidfVectorizer,Polyjuice
35,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
36,17,spam,Neural Network,_TfidfVectorizer,Polyjuice
37,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
38,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
39,1,spam,Neural Network,_TfidfVectorizer,Polyjuice
40,7,spam,Neural Network,_TfidfVectorizer,Polyjuice
41,10,spam,Neural Network,_TfidfVectorizer,Polyjuice
42,19,spam,Neural Network,_TfidfVectorizer,Polyjuice
43,18,spam,Neural Network,_TfidfVectorizer,Polyjuice
44,23,spam,Neural Network,_TfidfVectorizer,Polyjuice
45,26,spam,Neural Network,_TfidfVectorizer,Polyjuice
46,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
47,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
48,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
49,21,spam,Neural Network,_TfidfVectorizer,Polyjuice
50,28,spam,Neural Network,_TfidfVectorizer,Polyjuice
51,26,spam,Neural Network,_TfidfVectorizer,Polyjuice
52,15,spam,Neural Network,_TfidfVectorizer,Polyjuice
53,4,spam,Neural Network,_TfidfVectorizer,Polyjuice
54,13,spam,Neural Network,_TfidfVectorizer,Polyjuice
55,15,spam,Neural Network,_TfidfVectorizer,Polyjuice
56,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
57,7,spam,Neural Network,_TfidfVectorizer,Polyjuice
58,25,spam,Neural Network,_TfidfVectorizer,Polyjuice
59,28,spam,Neural Network,_TfidfVectorizer,Polyjuice
60,21,spam,Neural Network,_TfidfVectorizer,Polyjuice
61,1,spam,Neural Network,_TfidfVectorizer,Polyjuice
62,12,spam,Neural Network,_TfidfVectorizer,Polyjuice
63,21,spam,Neural Network,_TfidfVectorizer,Polyjuice
64,21,spam,Neural Network,_TfidfVectorizer,Polyjuice
65,1,spam,Neural Network,_TfidfVectorizer,Polyjuice
66,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
67,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
68,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
69,20,spam,Neural Network,_TfidfVectorizer,Polyjuice
70,2,spam,Neural Network,_TfidfVectorizer,Polyjuice
71,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
72,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
73,25,spam,Neural Network,_TfidfVectorizer,Polyjuice
74,6,spam,Neural Network,_TfidfVectorizer,Polyjuice
75,17,spam,Neural Network,_TfidfVectorizer,Polyjuice
76,27,spam,Neural Network,_TfidfVectorizer,Polyjuice
77,32,spam,Neural Network,_TfidfVectorizer,Polyjuice
78,17,spam,Neural Network,_TfidfVectorizer,Polyjuice
79,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
80,16,spam,Neural Network,_TfidfVectorizer,Polyjuice
81,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
82,2,spam,Neural Network,_TfidfVectorizer,Polyjuice
83,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
84,29,spam,Neural Network,_TfidfVectorizer,Polyjuice
85,25,spam,Neural Network,_TfidfVectorizer,Polyjuice
86,22,spam,Neural Network,_TfidfVectorizer,Polyjuice
87,25,spam,Neural Network,_TfidfVectorizer,Polyjuice
88,26,spam,Neural Network,_TfidfVectorizer,Polyjuice
89,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
90,5,spam,Neural Network,_TfidfVectorizer,Polyjuice
91,10,spam,Neural Network,_TfidfVectorizer,Polyjuice
92,25,spam,Neural Network,_TfidfVectorizer,Polyjuice
93,24,spam,Neural Network,_TfidfVectorizer,Polyjuice
94,21,spam,Neural Network,_TfidfVectorizer,Polyjuice
95,14,spam,Neural Network,_TfidfVectorizer,Polyjuice
96,19,spam,Neural Network,_TfidfVectorizer,Polyjuice
97,19,spam,Neural Network,_TfidfVectorizer,Polyjuice
98,38,spam,Neural Network,_TfidfVectorizer,Polyjuice
99,4,spam,Neural Network,_TfidfVectorizer,Polyjuice
0,22,spam,Neural Network,_TfidfVectorizer,xSPELLS
1,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
2,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
3,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
4,32,spam,Neural Network,_TfidfVectorizer,xSPELLS
5,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
6,26,spam,Neural Network,_TfidfVectorizer,xSPELLS
7,25,spam,Neural Network,_TfidfVectorizer,xSPELLS
8,16,spam,Neural Network,_TfidfVectorizer,xSPELLS
9,28,spam,Neural Network,_TfidfVectorizer,xSPELLS
10,28,spam,Neural Network,_TfidfVectorizer,xSPELLS
11,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
12,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
13,29,spam,Neural Network,_TfidfVectorizer,xSPELLS
14,28,spam,Neural Network,_TfidfVectorizer,xSPELLS
15,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
16,22,spam,Neural Network,_TfidfVectorizer,xSPELLS
17,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
18,17,spam,Neural Network,_TfidfVectorizer,xSPELLS
19,21,spam,Neural Network,_TfidfVectorizer,xSPELLS
20,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
21,21,spam,Neural Network,_TfidfVectorizer,xSPELLS
22,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
23,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
24,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
25,22,spam,Neural Network,_TfidfVectorizer,xSPELLS
26,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
27,32,spam,Neural Network,_TfidfVectorizer,xSPELLS
28,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
29,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
30,28,spam,Neural Network,_TfidfVectorizer,xSPELLS
31,28,spam,Neural Network,_TfidfVectorizer,xSPELLS
32,17,spam,Neural Network,_TfidfVectorizer,xSPELLS
33,27,spam,Neural Network,_TfidfVectorizer,xSPELLS
34,25,spam,Neural Network,_TfidfVectorizer,xSPELLS
35,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
36,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
37,6,spam,Neural Network,_TfidfVectorizer,xSPELLS
38,32,spam,Neural Network,_TfidfVectorizer,xSPELLS
39,21,spam,Neural Network,_TfidfVectorizer,xSPELLS
40,15,spam,Neural Network,_TfidfVectorizer,xSPELLS
41,28,spam,Neural Network,_TfidfVectorizer,xSPELLS
42,27,spam,Neural Network,_TfidfVectorizer,xSPELLS
43,21,spam,Neural Network,_TfidfVectorizer,xSPELLS
44,21,spam,Neural Network,_TfidfVectorizer,xSPELLS
45,25,spam,Neural Network,_TfidfVectorizer,xSPELLS
46,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
47,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
48,18,spam,Neural Network,_TfidfVectorizer,xSPELLS
49,14,spam,Neural Network,_TfidfVectorizer,xSPELLS
50,29,spam,Neural Network,_TfidfVectorizer,xSPELLS
51,11,spam,Neural Network,_TfidfVectorizer,xSPELLS
52,21,spam,Neural Network,_TfidfVectorizer,xSPELLS
53,18,spam,Neural Network,_TfidfVectorizer,xSPELLS
54,29,spam,Neural Network,_TfidfVectorizer,xSPELLS
55,25,spam,Neural Network,_TfidfVectorizer,xSPELLS
56,31,spam,Neural Network,_TfidfVectorizer,xSPELLS
57,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
58,18,spam,Neural Network,_TfidfVectorizer,xSPELLS
59,16,spam,Neural Network,_TfidfVectorizer,xSPELLS
60,28,spam,Neural Network,_TfidfVectorizer,xSPELLS
61,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
62,26,spam,Neural Network,_TfidfVectorizer,xSPELLS
63,62,spam,Neural Network,_TfidfVectorizer,xSPELLS
64,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
65,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
66,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
67,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
68,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
69,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
70,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
71,20,spam,Neural Network,_TfidfVectorizer,xSPELLS
72,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
73,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
74,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
75,26,spam,Neural Network,_TfidfVectorizer,xSPELLS
76,30,spam,Neural Network,_TfidfVectorizer,xSPELLS
77,22,spam,Neural Network,_TfidfVectorizer,xSPELLS
78,22,spam,Neural Network,_TfidfVectorizer,xSPELLS
79,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
80,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
81,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
82,21,spam,Neural Network,_TfidfVectorizer,xSPELLS
83,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
84,9,spam,Neural Network,_TfidfVectorizer,xSPELLS
85,16,spam,Neural Network,_TfidfVectorizer,xSPELLS
86,18,spam,Neural Network,_TfidfVectorizer,xSPELLS
87,14,spam,Neural Network,_TfidfVectorizer,xSPELLS
88,24,spam,Neural Network,_TfidfVectorizer,xSPELLS
89,23,spam,Neural Network,_TfidfVectorizer,xSPELLS
90,17,spam,Neural Network,_TfidfVectorizer,xSPELLS
91,22,spam,Neural Network,_TfidfVectorizer,xSPELLS
92,19,spam,Neural Network,_TfidfVectorizer,xSPELLS
93,77,spam,Neural Network,_TfidfVectorizer,xSPELLS
94,26,spam,Neural Network,_TfidfVectorizer,xSPELLS
95,31,spam,Neural Network,_TfidfVectorizer,xSPELLS
96,18,spam,Neural Network,_TfidfVectorizer,xSPELLS
0,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
1,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
2,17,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
3,15,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
4,6,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
5,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
6,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
7,7,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
8,20,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
9,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
10,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
11,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
12,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
13,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
14,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
15,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
16,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
17,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
18,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
19,7,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
20,15,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
21,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
22,13,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
23,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
24,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
25,4,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
26,20,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
27,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
28,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
29,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
30,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
31,20,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
32,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
33,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
34,14,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
35,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
36,10,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
37,12,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
38,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
39,4,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
40,16,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
41,8,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
42,12,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
43,15,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
44,6,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
45,24,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
46,17,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
47,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
48,13,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
49,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
50,17,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
51,26,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
52,24,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
53,20,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
54,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
55,25,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
56,14,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
57,25,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
58,5,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
59,24,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
60,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
61,26,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
62,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
63,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
64,17,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
65,20,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
66,24,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
67,16,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
68,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
69,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
70,14,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
71,15,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
72,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
73,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
74,20,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
75,12,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
76,24,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
77,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
78,28,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
79,3,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
80,25,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
81,8,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
82,6,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
83,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
84,6,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
85,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
86,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
87,6,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
88,13,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
89,4,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
90,13,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
91,2,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
92,13,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
93,20,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
94,10,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
95,17,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
96,5,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
97,5,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
98,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
99,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
100,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
101,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
102,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
103,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
104,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
105,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
106,18,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
107,7,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
108,24,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
109,17,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
110,21,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
111,15,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
112,22,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
113,4,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
114,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
115,19,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
116,4,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
117,23,spam,Neural Network,_TfidfVectorizer,CounterfactualGAN
